id;code_sap;razao_social;nome_fantasia;criado_em;atualizado_em;status
140;10552182;COOP REG AGROP SERRANA LTDA;COOPERSERRA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
141;10433645;COOP REG AURIVERDE LTDA;AURIVERDE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
142;10547589;COOP REG CAF VALE DO RIO VERDE LTDA;COCARIVE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
143;10433408;COOP REG CAFEIC GUAXUPE LTDA;COOXUPE;2019-12-03 18:55:28.274305;2019-12-18 17:54:33.702903;1
144;10550043;COOP REG ITAIPU;COOPERITAIPU;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
145;10550062;COOP TRIT CACAPAVANA LTDA;COTRISUL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
146;10501678;COOP TRIT DE ESPUMOSO LTDA;COTRIEL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
147;10467825;COOP TRIT DE SARANDI LTDA;COTRISAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
148;10433672;COOP TRIT MISTA CAMPO NOVO LTDA;COTRICAMPO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
149;10434583;COOP TRIT MISTA VACARIENSE LTDA;COOPERVAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
150;10433876;COOP TRIT REG S LUIZENSE LTDA;COOPATRIGO;2019-12-03 18:55:28.274305;2020-01-06 13:12:01.523055;1
151;10550649;COOP TRIT SEPEENSE LTDA;COTRISEL;2019-12-03 18:55:28.274305;2020-01-09 14:53:24.085244;1
152;10548459;COOP TRIT TAPERENSE LTDA;COTRISOJA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
153;10433390;COOPAVEL COOPERATIVA AGROINDUSTRIAL;COOPAVEL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
154;10433618;COOPERATIVA AGRARIA AGROINDUSTRIAL;AGRARIA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
155;10471574;COOPERATIVA AGROINDUSTRIAL COOPERJA;COOPERJA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
156;10550040;COOPERATIVA MISTA AGROPECURIA DE PA;COOMAP;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
157;10520575;COOPERCITRUS COOP DE PROD RURAIS;COPERCITRUS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
158;10433574;COOPERMOTA COOPERATIVA AGROINDUSTRI;COOPERMOTA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
159;10433720;COPACOL COOP AGROINDL CONSOLATA;COPACOL;2019-12-03 18:55:28.274305;2019-12-19 15:09:48.248312;1
160;10433419;COPLANA COOP AGROINDUSTRIAL;COPLANA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
161;10433589;COTRIJAL COOP AGROP E INDUSTRIAL;COTRIJAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
162;10547802;COTRIJUC COOP AGROP JULIO DE CAST;COTRIJUC;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
163;10626515;CULTIVA SOLUCOES AGROP LTDA;CULTIVA;2019-12-03 18:55:28.274305;2020-01-09 14:47:49.271885;1
164;10626898;CULTIVAR COM SERV AGROPEC LTDA;CULTIVAR;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
165;10433604;CVALE COOPERATIVA AGROINDUSTRIAL;CVALE;2019-12-03 18:55:28.274305;2020-01-02 13:13:10.853290;1
166;10551789;DA TERRA SOLUCOES AGRICOLAS LTDA;DA TERRA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
167;10550888;DAGRAMAS COM E REPR DE PROD RURAIS;DAGRAMA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
168;10576365;DECIO LUIZ CASSOL & CIA LTDA;AGROSOL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
169;10434305;DEFENSA NUT PROT VEGETAL LTDA;DEFENSA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
170;10434092;DELTA AGRICOLA LTDA;DELTA;2019-12-03 18:55:28.274305;2019-12-26 20:10:47.012805;1
171;10433837;DENORPI DISTR INS AGRIC LTDA;DENORPI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
172;10433911;DIAMAJU AGRIC LTDA;DIAMAJU;2019-12-03 18:55:28.274305;2019-12-18 12:04:07.007202;1
173;10546832;DIAMIG DIST DE INSUMOS AGRIC SA;DIAMIG;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
174;10491327;DIBAN DISTR DE INS AGRIC BANDEIRANT;DIBAN;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
175;10434584;DINIZ & SZYMANSKI LTDA;DINIZ & SZYMANSKI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
176;10628488;DINIZ PENTEADO E CIA LTDA;DINIZ PENTEADO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
177;10433756;DINIZ SEMENTES E DEFENSIVOS LTDA;DINIZ SEMENTES;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
178;10433504;EDIR TOMIOSHI AGRIC LTDA;EDIR TOMIOSHI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
179;10560719;F PEZZATO AGRICOLA LTDA;F PEZZATO AGRICOLA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
180;10433656;FERRARI ZAGATTO COM DE INSUMOS SA;AGRIC FERTIPOL;2019-12-03 18:55:28.274305;2019-12-19 15:15:54.968160;1
181;10550808;FERT SOLO COM PROD AGRIC LTDA;BRUNO BORGES RUSSIAN;2019-12-03 18:55:28.274305;2019-12-18 14:45:54.899480;1
182;10479292;FIAGRIL LTDA;FIAGRIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
