ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
325;PLATINUM NEO - 5 L;PLATINUM NEO;5;L;5;1
326;PRIMO - 20 L;PRIMO;20;L;20;0
327;PROCLAIM - 3 KG;PROCLAIM;3;KG;3;1
328;ACTELLIC 50 EC - 1 L;ACTELLIC 50 EC;1;L;1;0
329;ACTELLICLAMBDA - 1 L;ACTELLICLAMBDA;1;L;1;0
330;ADAGE 350 FS - 5 L;ADAGE 350 FS;5;L;5;1
331;ALIKA - 5 L;ALIKA;5;L;5;1
332;AMISTAR WG - 3 KG;AMISTAR WG;3;KG;3;0
333;AMISTAR WG - 1 KG;AMISTAR WG;1;KG;1;0
334;AXANE - 200 L;AXANE;200;L;200;0
335;BENZOATO DE EMAMECTINA 50G/K WG - 4 KG;BENZOATO DE EMAMECTINA 50G/K WG;4;KG;4;1
336;BION 500 WG - 25 G;BION 500 WG;25;G;0.025;1
337;BRAVONIL 720 - 1 L;BRAVONIL 720;1;L;1;0
338;CAIXA DYNASTY 15 L - 1 CX;CAIXA DYNASTY 15 L;1;CX;1;1
339;CAIXA ELATUS BRAVO - 1 CX;CAIXA ELATUS BRAVO;1;CX;1;1
340;CAIXA MANEJO COMPLETO - 1 CX;CAIXA MANEJO COMPLETO;1;CX;1;1
341;CAIXA V&P MAIS MAXIM ADV - 1 CX;CAIXA V&P MAIS MAXIM ADV;1;CX;1;0
342;CLARIVA PN - 5 L;CLARIVA PN;5;L;5;1
343;CRUISER ADVANCED - 1 L;CRUISER ADVANCED;1;L;1;1
344;CRUISER ADVANCED - 5 L;CRUISER ADVANCED;5;L;5;1
345;DACONIL WG - 5 L;DACONIL WG;5;L;5;0
346;DURIVO - 250 ML;DURIVO;250;ML;0.25;1
347;FIPRONIL - 1000 L;FIPRONIL;1000;L;1000;0
349;FORTENZA 600 FS - 1000 L;FORTENZA 600 FS;1000;L;1000;0
350;FORTIS PRO - 30 ML;FORTIS PRO;30;ML;0.03;0
351;ICON 10 PM - 25 G;ICON 10 PM;25;G;0.025;0
352;ICON 10 WP - 25 G;ICON 10 WP;25;G;0.025;0
353;MANFIL 800 WP - 10 KG;MANFIL 800 WP;10;KG;10;1
354;MAXIM 025 FS - 5 L;MAXIM 025 FS;5;L;5;1
355;OCHIMA - 20 L;OCHIMA;20;L;20;1
356;OCHIMA - 5 L;OCHIMA;5;L;5;1
357;OPTIGARD LT - 10 G;OPTIGARD LT;10;G;0.01;0
358;PROCLAIM - 20 KG;PROCLAIM;20;KG;20;1
359;PROCLAIM - 5 KG;PROCLAIM;5;KG;5;1
360;PROOF - 5 L;PROOF;5;L;5;1
361;SHIRLAN - 1 L;SHIRLAN;1;L;1;0
362;SPECTRO - 1000 L;SPECTRO;1000;L;1000;1
363;START - 5 L;START;5;L;5;1
